date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude,month,day,year,time
5/13/2006 0:05,pekalongan (indonesia),,id,light,120,few minutes,the images can be found at ((deleted)).  ((NUFORC Note:  Small&#44 blurry&#44 indistinct object.  PD)),5/15/2006,-6.883333,109.666667,5,13,2006,0:05
5/13/2007 14:00,germany,,de,formation,300,5 minutes,fussen germany  5 minutes  formation over village view from Neuschwanstein Castle,8/14/2007,51.165691,10.451526,5,13,2007,14:00
5/13/2007 21:40,chennai (india),,in,formation,600,betweet 5-10 minutes,A moving array of tiny lights past the sky centre line south to north&#44 sighted four times with 2-3 minutes interval.,6/12/2007,13.052414,80.250825,5,13,2007,21:40
5/13/2008 3:40,essex (uk/england),,gb,light,360,5/6 minutes,Bright white flashing light&#44 emitting sparks&#44 making a slow incline over Essex coast in England.,6/12/2008,51.833333,0.583333,5,13,2008,3:40
5/13/2008 4:40,hamilton (canada),on,ca,light,240,3-4 mins,While observing the stars I noticed a small circular light moving around in a circular motion.,6/12/2008,43.25,-79.833333,5,13,2008,4:40
5/13/2009 22:30,ottawa (canada),on,ca,flare,8,8 sec,Star became a bright white light which began moving then disappeared.  ((NUFORC Note:  Possible Iridium satellite?  PD)),6/9/2009,45.416667,-75.7,5,13,2009,22:30
5/13/2009 23:30,paisley (uk/scotland),,gb,light,60,1 min,single bright light moved smoothly from the south turned east and moved rapidly,6/9/2009,55.833333,-4.433333,5,13,2009,23:30
5/13/2010 22:00,lahore (pakistan),,pk,formation,2,a few seconds,It was late at night and i went out on the roof of my house. Then suddenly a few lights appeared from behind some trees. After a 3 seco,6/20/2011,31.554606,74.357158,5,13,2010,22:00
5/13/2011 22:05,ballymoney (northern ireland),,gb,round,900,15min,Orange fiery disk flying,5/29/2011,55.07203,-6.51699,5,13,2011,22:05
5/13/2012 20:44,reading (berkshire) (uk/england),,gb,round,60,1 minute,Two circular discs on sky at night photos not visible to the naked eye. Moved in three photos.,5/29/2012,51.433333,-1,5,13,2012,20:44
5/14/2012,east bentleigh (australia),,au,light,2,2 secs,Small round light fell,5/13/2012,-37.921245,145.05974,5,14,2012,0:00
5/13/2013 23:30,scarborough (canada),on,ca,light,4,3-4 seconds,Bright  whitish-blue roundish light appeared and disappeared  pulse in  3-4 seconds.  ((NUFORC Note:  Possible satellite?  PD)),5/15/2013,43.75,-79.2,5,13,2013,23:30
5/14/2000 11:25,strathroy (east of) (canada),on,ca,diamond,5,5 seconds,We were driving along the highway and we saw a large&#44 bright&#44 diamond shape object in the sky. The object was falling rapidly on an ang,12/2/2000,42.95,-81.616667,5,14,2000,11:25
5/14/2000 16:00,enschede&#44 overijssel (netherlands),,nl,diamond,120,2 minutes,An UFO landed inside a fireworks factory&#44 and he took off. 3 minutes later a huge fire caused the factory to explode&#44 destroying a neig,6/6/2000,52.221537,6.893662,5,14,2000,16:00
5/14/2001 5:30,wollongong (nsw&#44 australia),,au,cylinder,900,15 min.,Bright Cigar object. Very high altitute on east.Traveling from north to south. Strong light was flashing from time to time. Time betwee,8/5/2001,-34.424,150.893448,5,14,2001,5:30
5/14/2001 14:00,hobart (tasmania&#44 australia),,au,other/unspecified,30,30 seconds,Plane without engine pods or sound flys overhead,8/5/2001,-42.883209,147.331665,5,14,2001,14:00
